run_id;NAC_DTM_ID;morphology;deterior;center_lon;center_lat;ray_maxdia;mean_diam;δ_D;mean_depth;δ_d_1;ratio_dD;δ_dD;circu;mean_slope;mean_TRI;swirl;hiesinger
866;REINER7;Bowl-shaped;AB;3629002,403;243769,7268;484,4;968;14;180,6999969;1,1;0,186;0,003;0,98;23,54;0,50999999;off-swirl;3.3 Ga
2359;REINER8;Bowl-shaped;AB;3666801,084;224663,1053;541,7;1083;25;185,1000061;1,5;0,171;0,004;0,93;23,11;0,800000012;off-swirl;3.3 Ga
1495;REINER8;Bowl-shaped;AB;3664207,018;236537,5691;337,9;675;30;122;0,7;0,181;0,008;0,9;24,67;0,75999999;on-swirl;3.3 Ga
112;REINER8;Bowl-shaped;AB - B;3669517,622;256991,3524;1015,8;2031;45;351,6000061;1,3;0,173;0,004;0,95;21,66;0,810000002;off-swirl;3.3 Ga
834;REINER3;Bowl-shaped;AB - B;3652783,324;230184,6804;27,8;55;4;5,900000095;0,2;0,106;0,009;0,9;16,69;0,150000006;off-swirl;3.3 Ga
1253;REINER2;Bowl-shaped;AB - B;3657769,876;225620,5382;26,3;52;2;7,699999809;0,3;0,146;0,009;0,94;18,07;0,850000024;on-swirl;3.3 Ga
1887;REINER7;Bowl-shaped;AB - B;3624297,332;227145,2039;151,8;303;9;43,59999847;0,6;0,144;0,005;0,98;21,8;0,620000005;on-swirl;3.3 Ga
2187;REINER7;Bowl-shaped;AB - B;3631154,673;227425,3204;625,8;1251;48;180,3000031;3;0,144;0,006;0,95;19,74;0,349999994;on-swirl;3.3 Ga
105;REINER2;Bowl-shaped;B;3657277,818;236144,8556;46;91;6;9,399999619;0,6;0,102;0,009;0,94;15,53;0,370000005;off-swirl;3.3 Ga
465;REINER2;Bowl-shaped;B;3656722,031;231573,2032;33,9;67;5;7,099999905;0,3;0,105;0,009;0,9;17,13;0,379999995;off-swirl;3.3 Ga
500;REINER6;Bowl-shaped;B;3656293,418;254170,8183;145,4;290;14;30,20000076;1,5;0,104;0,007;0,95;16,73;0,200000003;off-swirl;3.3 Ga
881;REINER7;Bowl-shaped;B;3629295,814;241854,5403;74;147;9;16;0,6;0,108;0,008;0,92;15,9;0,779999971;off-swirl;3.3 Ga
1080;REINER3;Bowl-shaped;B;3653976,911;229054,3596;160,8;321;10;35,5;1,5;0,11;0,006;0,92;16,06;0,319999993;off-swirl;3.3 Ga
1165;REINER6;Bowl-shaped;B;3657401,746;246419,7317;266,2;532;40;59,79999924;0,8;0,112;0,009;0,91;18,6;0,409999996;off-swirl;3.3 Ga
1243;REINER7;Bowl-shaped;B;3629689,546;238607,1546;212,7;425;16;44,09999847;0,7;0,104;0,004;0,91;16,79;0,540000021;off-swirl;3.3 Ga
1696;REINER3;Bowl-shaped;B;3653119,072;223561,4962;317,3;634;28;85,90000153;0,9;0,135;0,006;0,93;20;0,550000012;off-swirl;3.3 Ga
2420;REINER2;Bowl-shaped;B;3657693,565;217763,5354;127,3;254;10;26,89999962;0,6;0,106;0,005;0,93;17,38;0,319999993;off-swirl;3.3 Ga
2438;REINER2;Bowl-shaped;B;3658939,934;218485,0642;61,9;123;3;14;0,3;0,113;0,004;0,98;14,52;0,639999986;off-swirl;3.3 Ga
2649;REINER2;Bowl-shaped;B;3657794,802;216060,4746;170,7;341;7;38,20000076;0,4;0,112;0,003;0,95;19,86;0,519999981;off-swirl;3.3 Ga
2691;REINER8;Bowl-shaped;B;3666453,038;219193,5899;268,7;537;21;65,30000305;0,6;0,122;0,005;0,9;19,63;0,790000021;off-swirl;3.3 Ga
2775;REINER2;Bowl-shaped;B;3656271,659;214282,7675;69,7;139;4;17,10000038;0,6;0,123;0,006;0,94;17,68;0,409999996;off-swirl;3.3 Ga
2935;REINER2;Bowl-shaped;B;3657612,726;214297,922;168,7;337;23;38,20000076;0,4;0,113;0,008;0,93;17,81;0,389999986;off-swirl;3.3 Ga
3050;REINER7;Bowl-shaped;B;3627673,938;213160,6197;78;156;7;16,79999924;0,7;0,108;0,006;0,94;15,78;0,540000021;off-swirl;3.3 Ga
3192;REINER2;Bowl-shaped;B;3658239,472;212615,1791;159;317;31;32,79999924;0,7;0,103;0,01;0,91;17,03;0,430000007;off-swirl;3.3 Ga
3268;REINER2;Bowl-shaped;B;3656429,136;209181,6008;232,8;465;26;48,90000153;0,7;0,105;0,006;0,94;15,72;0,239999995;off-swirl;3.3 Ga
3279;REINER2;Bowl-shaped;B;3656287,603;209484,8508;36,4;72;4;8,899999619;0,3;0,122;0,007;0,92;16,63;0,600000024;off-swirl;3.3 Ga
3291;REINER2;Bowl-shaped;B;3655264,175;210824,8875;35,6;71;6;7,400000095;0,2;0,104;0,01;0,92;14,99;0,550000012;off-swirl;3.3 Ga
3675;REINER3;Bowl-shaped;B;3651404,325;210975,9679;426,9;853;29;104,8000031;2,5;0,123;0,005;0,95;17,54;0,230000004;off-swirl;3.3 Ga
3875;REINER3;Bowl-shaped;B;3654406,26;210466,9299;85,6;171;12;18;1;0,105;0,009;0,9;15,74;0,289999992;off-swirl;3.3 Ga
3907;REINER6;Bowl-shaped;B;3663155,914;211868,6516;192,1;384;13;41,90000153;0,7;0,109;0,004;0,95;18,3;0,629999995;off-swirl;3.3 Ga
3996;REINER6;Bowl-shaped;B;3653033,348;206936,0388;227,4;454;20;50,59999847;0,7;0,111;0,005;0,92;17,59;0,200000003;off-swirl;3.3 Ga
4082;REINER8;Bowl-shaped;B;3671847,673;206024,3041;287,2;574;17;59;0,9;0,103;0,003;0,9;15,92;0,680000007;off-swirl;3.3 Ga
2;REINER4;Bowl-shaped;B;3647165,342;235098,6995;136,3;272;9;29,89999962;0,3;0,11;0,004;0,91;17,15;0,569999993;on-swirl;3.3 Ga
178;REINER3;Bowl-shaped;B;3654366,988;235718,059;59,1;118;6;13,19999981;0,3;0,112;0,006;0,92;16,96;0,600000024;on-swirl;3.3 Ga
